risk_cluster_key,review_priority,cluster_size,members_reviewed,production_targets_reviewed,authoritative_owner,semantic_equivalence,retired_members,preserved_members,decision_reason
unknown:load:equals,P0,7,7,"schema/json fixtures loaded by authorization/evidence/governance/release/source schema tests",tests/unit/test_authorization_token_schema.py,false,,"all members preserved","Same load/assertion shape, but each member validates a different schema or release artifact with different fixture semantics."
unknown:copy_candidate:contains,P0,6,6,"scripts.m5d_publication_common.validate_candidate; frontend_inventory",tests/unit/test_m5d_publication_candidate.py,partial,,"all members preserved","Shared copy_candidate setup and contains assertions, but each member mutates a different artifact field: temporary path, manifest finality, PR binding, extra files, baseline drift, or non-json artifact."
unknown:generate_symbol_observations:contains,P0,7,7,scripts/generate_watchlist_observations.py,tests/test_generate_watchlist_observations.py,false,,"all members preserved","Common observation generator target, but members cover distinct observation semantics: stale/EOD, live spread, price direction, threshold proximity, volume, and failed observations."
frontend_static_contract:read_text:contains,P0,5,5,"frontend static/read_text contracts across accessibility, observability, readonly, M5N",tests/unit/test_frontend_readonly_static_contracts.py,partial,,"all members preserved","Static text assertions overlap, but files guard different surfaces: accessibility labels, observability panels, readonly schema wording, and M5N workbench contract."
unknown:datetime:contains+equals,P0,6,6,"normalizers for TPEx/TWSE/Yahoo timestamp semantics",tests/unit/test_twse_openapi_normalization_v1.py,false,,"all members preserved","Shared datetime assertion shape, but each member validates a different source adapter timestamp/freshness transformation."
unknown:read_text:contains,P0,5,5,"documentation/static governance files",tests/unit/test_test_suite_segmentation_docs.py,partial,,"all members preserved","All read text and check tokens, but they protect separate docs/workflows: freshness matrix, PR checklist, pytest markers, repo-wide governance, and test segmentation."
conversation_context:build_frontend_readonly_context_package:contains,P0,3,3,scripts/build_frontend_readonly_context_package.py,tests/unit/test_frontend_readonly_context_package.py,false,,"all members preserved","Same builder target, but stale, delayed, and live-candidate caveats are distinct display semantics."
m5b_staging:base_result:no_assert,P0,4,4,scripts/build_m5b_staging_candidate.py,tests/unit/test_build_m5b_staging_candidate.py,partial,,"all members preserved","Shared helper/setup path, but members exercise distinct staging candidate failure and manifest behavior."
m5b_staging:datetime:equals,P0,4,4,scripts/validate_m5b_execution_authorization.py,tests/unit/test_m5b_execution_authorization.py,false,,"all members preserved","Same datetime target and equality shape, but members cover before, exact authorized, pre-expiry, exact expiry, and receipt audit boundaries."
unknown:any:equals,P0,5,5,"source registry and adapter matrix validators",tests/unit/test_validate_source_registry.py,partial,,"all members preserved","Common any/equality pattern, but assertions check separate registry and adapter error families."
unknown:build_adapter_report:contains+equals,P0,4,4,scripts/m3g_live_probe_to_snapshot_adapter.py,tests/unit/test_m3g_live_probe_to_snapshot_adapter.py,false,,"all members preserved","Same adapter report target, but members cover official OpenAPI mapping, malformed summaries, failed targets, and integration shape."
briefing_render:render_chatgpt_briefing:contains,P1,4,4,scripts/generate_chatgpt_briefing.py,tests/test_generate_chatgpt_briefing.py,false,,"all members preserved","Same renderer and contains assertions, but members cover raw collection suppression, market-session dict rendering, table escaping, and empty-list rendering."
conversation_context:build_frontend_readonly_context_package:boolean_identity,P1,2,2,scripts/build_frontend_readonly_context_package.py,tests/unit/test_frontend_readonly_context_package.py,partial,,"all members preserved","Both check boolean flags from the same builder, but one validates readonly_only positive construction while the other validates multiple false governance flags."
production_prod_write:load:truthy,P1,3,3,"authorization/evidence/readiness JSON files",tests/unit/test_authorization_token_schema.py,false,,"all members preserved","Shared load/truthy shape, but files validate different production-safety metadata in token, evidence, and readiness artifacts."
unknown:any:boolean_identity+contains+equals,P1,4,4,scripts/probe_yahoo.py,tests/unit/test_yahoo_probe_classification.py,false,,"all members preserved","Same Yahoo probe helper shape, but members cover separate identity mismatch and batch failure cases."
unknown:body:truthy,P1,4,4,scripts/check_pr_body_changed_files_consistency.py,tests/unit/test_pr_body_changed_files_consistency.py,false,,"all members preserved","Common PR body parser target, but members cover exact match, extra nonexistent file, missing changed file warning, and duplicate entry warning."
unknown:get_env:contains+equals,P1,3,3,scripts/run_m3g04_controlled_live_probe.py,tests/test_m3g04_controlled_live_probe.py,false,,"all members preserved","Same environment helper shape, but members cover prohibited sources, max target enforcement, and source rejection."
unknown:load:contains,P1,4,4,"fixture replay, audit ledger, risk flag, workflow policy JSON",tests/unit/test_workflow_policy_matrix.py,false,,"all members preserved","Shared JSON load plus contains assertions, but each member validates a distinct policy/fixture schema."
unknown:path:contains,P1,3,3,"M5K/M5LRM documentation and path contracts",tests/unit/test_m5k_workflow.py,partial,,"all members preserved","Path token overlap only; members protect distinct workflow and convergence documentation contracts."
unknown:payload:equals,P1,4,4,scripts/controlled_refresh_staging_validator.py,tests/unit/test_controlled_refresh_staging_validator.py,false,,"all members preserved","Same payload helper shape, but members cover different validator acceptance/rejection families."
unknown:validate:equals,P1,3,3,"M5C/M5D validators",tests/unit/test_m5c_supplemental_audit.py,false,,"all members preserved","Identical validate()==[] assertion shape across different validator modules and artifacts, so semantic equivalence is false."
ai_context_pack:build_ai_context_pack:contains,P1,3,3,scripts/generate_ai_context_pack.py,tests/test_generate_ai_context_pack.py,false,,"all members preserved","Same pack builder and contains assertions, but members verify source baseline, usable live filtering, and prohibited vocabulary absence."
frontend_static_contract:path:contains,P1,2,2,"M5K/M5Q frontend static path contracts",tests/unit/test_m5k_workflow.py,partial,,"all members preserved","Frontend path/static overlap, but one guards M5K endpoint model while the other guards source-health panel contract."
m5c_staging:validate_request:contains,P1,2,2,scripts/validate_m5c_staging_promotion_request.py,tests/unit/test_m5c_staging_promotion.py,false,,"all members preserved","Same request validator target, but one checks duplicate/noncanonical run dir and another checks binding/schema requirements."
unknown:_assert_probe_envelope_first_row_freshness:no_assert,P1,3,3,scripts/probe_twse_mis.py,tests/unit/test_twse_mis_normalization_v2.py,false,,"all members preserved","Shared helper has no direct asserts in wrapper, but each member feeds distinct TWSE MIS freshness fixtures."
unknown:_parse_mis_item:equals,P1,3,3,scripts/probe_twse_mis.py,tests/unit/test_m5l_live_source_adapter_matrix.py,false,,"all members preserved","Same MIS parser target, but members validate price fallback, unavailable price, and numeric price preference."
unknown:build_summary_entry:boolean_identity+equals,P1,2,2,scripts/run_m3g04_controlled_live_probe.py,tests/test_m3g04_controlled_live_probe.py,false,,"all members preserved","Same summary builder, but one covers successful source summary and one covers None/failure summary."
unknown:datetime:equals,P1,3,3,"TPEx/Yahoo datetime normalization",tests/unit/test_tpex_openapi_normalization_v1.py,false,,"all members preserved","Same datetime equality shape, but source-specific timestamp fields and timezone preferences differ."
unknown:draft202012validator_check_schema:no_assert,P1,3,3,"JSON schema files",tests/unit/test_authorization_token_schema.py,false,,"all members preserved","Same schema checker call but distinct schema documents: authorization token, evidence ledger, and source contract."
unknown:load_valid:contains,P1,2,2,scripts/validate_live_probe_authorization_request.py,tests/unit/test_m5a_live_probe_authorization_request.py,false,,"all members preserved","Same load_valid helper, but members cover different M5A authorization fixture families."
unknown:malformed_write_text:boolean_identity+equals,P1,2,2,scripts/validate_live_probe_authorization_request.py,tests/unit/test_m5a_live_probe_authorization_request.py,false,,"all members preserved","Both write malformed files, but expected structured outcomes differ between request and result envelopes."
mcp_fail_closed:assertionerror:boolean_identity+equals,P2,8,8,server/mcp_server.py,tests/unit/test_mcp_server.py,true,"tests/unit/test_mcp_server.py::test_controlled_tool_invalid_source_or_target_fails_closed_without_runner;tests/unit/test_mcp_server.py::test_controlled_tool_write_or_refresh_request_fails_closed_without_runner;tests/unit/test_mcp_server.py::test_controlled_tool_valid_confirmation_calls_only_runner_wrapper;tests/unit/test_mcp_server.py::test_controlled_tool_duplicate_scope_fails_closed_without_runner;tests/unit/test_mcp_server.py::test_controlled_tool_missing_runner_path_returns_structured_failure;tests/unit/test_mcp_server.py::test_controlled_tool_timeout_result_does_not_claim_no_network;tests/unit/test_mcp_server.py::test_controlled_tool_runner_error_after_launch_does_not_claim_no_network",tests/unit/test_mcp_server.py::test_controlled_tool_without_confirmation_fails_closed_without_runner,"All eight members used the same VALID_CONTROLLED_ARGS, the same monkeypatch that raises on runner execution, the same MCP tool call, and the same four assertions; the preserved owner keeps the legacy controlled tool fail-closed/no-network/no-write guard."
