legacy_workflow,legacy_job,legacy_command,legacy_gate_purpose,new_profile_or_workflow,preserved,replacement_owner,retirement_authorized,decision_reason
.github/workflows/ci.yml,build,"python -m compileall scripts server tests",Python syntax/import compilation for scripts server and tests,Default CI,true,.github/workflows/ci.yml default-ci compile step,not_applicable,Compile remains normal merge protection before DEFAULT_CI.
.github/workflows/ci.yml,build,"pytest -m ""not network"" -v",Broad non-network pytest regression,FULL_NON_NETWORK,true,python scripts/run_test_profile.py full-non-network --json,not_applicable,Normal PRs now use DEFAULT_CI but broad pytest remains in FULL_NON_NETWORK.
.github/workflows/ci.yml,build,python scripts/run_m5e_controlled_frontend_publication.py --check-only,M5E controlled frontend publication supersession/release gate,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,No M6K authorization to retire; preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,"python -m compileall scripts server tests",Python syntax/import compilation for scripts server and tests,FULL_NON_NETWORK,true,.github/workflows/non-network-ci.yml compile step,not_applicable,Compile remains in full regression workflow and default CI.
.github/workflows/non-network-ci.yml,non-network-acceptance,"pytest -m ""not network""",Broad non-network pytest regression,FULL_NON_NETWORK,true,python scripts/run_test_profile.py full-non-network --json,not_applicable,Preserved as FULL_NON_NETWORK pytest phase.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_local_delivery_acceptance.py --check-only,Local-only delivery acceptance and governed workbench required-file/forbidden-string gate,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Standalone check-only runner preserved; pytest is not assumed replacement.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_ci_delivery_acceptance.py --check-only,CI wrapper for local delivery acceptance and forbidden frontend/public change gate,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Standalone CI acceptance runner preserved outside normal DEFAULT_CI.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_m4_local_validation.py --check-only,M4 repo safety preflight and governance manifest local validation,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_m4_readiness_check.py --check-only,M4 aggregate readiness including registry fixture replay authorization and release gate matrix,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_m5c_staging_promotion_preflight.py --check-only,M5C staging promotion preflight and authorization readiness,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/validate_m5c_supplemental_audit.py,M5C supplemental audit schema/hash/source validation,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_m5d_frontend_publication_preflight.py --check-only,M5D frontend publication authorization preflight,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/validate_m5d_publication_candidate.py --candidate-dir research/staging/m5d/m5d_frontend_publication_candidate_01,M5D publication candidate validation,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/simulate_m5d_frontend_publication_transaction.py --check-only,M5D publication transaction simulation without real publication,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/simulate_m5d_frontend_publication_rollback.py --check-only,M5D rollback simulation without real publication,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_m5ij_end_to_end_acceptance.py --check-only,M5IJ local product end-to-end acceptance including M5F FastAPI MCP and M5E supersession,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved once even though legacy workflow listed it twice.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/validate_m5f_canonical_market_context_package.py --package-dir research/staging/m5f/m5f_canonical_market_context_01,M5F canonical package validation,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Preserved as release/full regression gate and Windows smoke gate.
.github/workflows/non-network-ci.yml,non-network-acceptance,python scripts/run_m5e_controlled_frontend_publication.py --check-only,M5E controlled frontend publication supersession/release gate,FULL_NON_NETWORK,true,config/test_execution_profiles.json full-non-network authoritative_runner,false,Duplicate legacy command preserved once; no retirement authorization.
.github/workflows/non-network-ci.yml,windows-m5f-smoke,python -m compileall scripts server tests/unit/test_m5f_canonical_market_context_package.py tests/unit/test_m5i_explicit_bounded_refresh.py tests/unit/test_m5ij_end_to_end_acceptance.py tests/unit/test_m5fgh_fastapi_context.py tests/unit/test_mcp_server.py,Windows compile smoke for M5F bounded refresh M5IJ FastAPI MCP surfaces,Windows Compatibility Smoke,true,.github/workflows/windows-compatibility-smoke.yml,false,Restored and expanded to include SSL/local networking tests.
.github/workflows/non-network-ci.yml,windows-m5f-smoke,"pytest -m ""not network"" tests/unit/test_m5f_canonical_market_context_package.py tests/unit/test_m5i_explicit_bounded_refresh.py tests/unit/test_m5ij_end_to_end_acceptance.py tests/unit/test_m5fgh_fastapi_context.py tests/unit/test_mcp_server.py -q",Windows non-network smoke for M5F M5I M5IJ FastAPI MCP,Windows Compatibility Smoke,true,.github/workflows/windows-compatibility-smoke.yml,false,Restored and expanded to include SSL policy and local networking compatibility.
.github/workflows/non-network-ci.yml,windows-m5f-smoke,python scripts/validate_m5f_canonical_market_context_package.py --package-dir research/staging/m5f/m5f_canonical_market_context_01,Windows M5F canonical validation,Windows Compatibility Smoke,true,.github/workflows/windows-compatibility-smoke.yml,false,Restored with strict default/no live execution.
.github/workflows/non-network-ci.yml,windows-m5f-smoke,python scripts/run_m5ij_end_to_end_acceptance.py --check-only,Windows M5IJ acceptance,Windows Compatibility Smoke,true,.github/workflows/windows-compatibility-smoke.yml,false,Restored with strict default/no live execution.
